
   INFO  Server running on [http://127.0.0.1:8002].  

  Press Ctrl+C to stop the server
  2026-05-19 10:24:38 /api/properties/2/dossier ............................................................ ~ 0.49ms
  2026-05-19 10:24:38 /api/properties/2/dossier ............................................................ ~ 0.26ms
  2026-05-19 11:52:39 /api/properties/1/dossier ................................................................ ~ 7s
  2026-05-19 11:52:47 /api/properties/1/dossier ............................................................ ~ 0.19ms
  2026-05-19 11:52:47 /api/properties/1/dossier ................................................................ ~ 2s
  2026-05-19 11:52:49 /api/properties/1/dossier .......................................................... ~ 500.87ms
  2026-05-19 13:02:18 /api/auth/logout ..................................................................... ~ 0.58ms
  2026-05-19 13:02:19 /api/auth/logout ................................................................... ~ 501.60ms
  2026-05-19 13:02:20 /api/auth/login ...................................................................... ~ 0.39ms
  2026-05-19 13:02:21 /api/auth/login .......................................................................... ~ 1s
  2026-05-19 13:02:22 /api/references ...................................................................... ~ 0.14ms
  2026-05-19 13:02:22 /api/references ...................................................................... ~ 0.14ms
  2026-05-19 13:02:22 /api/properties ...................................................................... ~ 0.19ms
  2026-05-19 13:02:22 /api/dashboard ..................................................................... ~ 501.83ms
  2026-05-19 13:02:22 /api/properties .................................................................... ~ 503.08ms
  2026-05-19 13:02:22 /api/dashboard ..................................................................... ~ 502.24ms
  2026-05-19 13:02:23 /api/properties/2/dossier ............................................................ ~ 0.15ms
  2026-05-19 13:02:23 /api/properties/2/dossier ............................................................ ~ 0.23ms
  2026-05-19 13:02:29 /api/backup/export ................................................................. ~ 508.15ms
  2026-05-19 13:02:29 /api/backup/export ................................................................... ~ 0.20ms
  2026-05-19 13:02:36 /api/properties/export.csv ........................................................... ~ 0.31ms
  2026-05-19 13:02:36 /api/properties/export.csv ......................................................... ~ 503.59ms
  2026-05-19 13:43:31 /api/auth/me ......................................................................... ~ 0.69ms
  2026-05-19 13:43:32 /api/auth/me ....................................................................... ~ 515.46ms
  2026-05-19 13:43:32 /api/references .................................................................... ~ 513.36ms
  2026-05-19 13:43:32 /api/references ...................................................................... ~ 0.20ms
  2026-05-19 13:43:33 /api/properties ...................................................................... ~ 0.27ms
  2026-05-19 13:43:33 /api/dashboard ..................................................................... ~ 516.88ms
  2026-05-19 13:43:33 /api/properties .................................................................... ~ 516.52ms
  2026-05-19 13:43:33 /api/dashboard ..................................................................... ~ 510.17ms
  2026-05-19 13:43:34 /api/auth/me ....................................................................... ~ 507.60ms
  2026-05-19 13:43:34 /api/auth/me ....................................................................... ~ 502.35ms
  2026-05-19 13:43:34 /api/references ...................................................................... ~ 0.21ms
  2026-05-19 13:43:35 /api/references ...................................................................... ~ 0.22ms
  2026-05-19 13:43:35 /api/properties .................................................................... ~ 501.20ms
  2026-05-19 13:43:35 /api/dashboard ....................................................................... ~ 0.24ms
  2026-05-19 13:43:35 /api/properties .................................................................... ~ 501.90ms
  2026-05-19 13:43:35 /api/dashboard ..................................................................... ~ 504.46ms
  2026-05-19 13:43:40 /api/auth/me ....................................................................... ~ 505.05ms
  2026-05-19 13:43:41 /api/auth/me ............................................................................. ~ 1s
  2026-05-19 13:43:42 /api/references .................................................................... ~ 507.51ms
  2026-05-19 13:43:42 /api/references .................................................................... ~ 515.61ms
  2026-05-19 13:43:43 /api/auth/me ....................................................................... ~ 509.65ms
  2026-05-19 13:43:43 /api/properties .................................................................... ~ 513.84ms
  2026-05-19 13:43:43 /api/dashboard ..................................................................... ~ 516.45ms
  2026-05-19 13:43:44 /api/auth/me ....................................................................... ~ 514.45ms
  2026-05-19 13:43:44 /api/properties .......................................................................... ~ 1s
  2026-05-19 13:43:44 /api/dashboard ........................................................................... ~ 1s
  2026-05-19 13:43:45 /api/references .................................................................... ~ 511.18ms
  2026-05-19 13:43:46 /api/references .................................................................... ~ 510.80ms
  2026-05-19 13:43:46 /api/properties .................................................................... ~ 513.79ms
  2026-05-19 13:43:47 /api/dashboard ....................................................................... ~ 0.25ms
  2026-05-19 13:43:47 /api/properties .................................................................... ~ 513.64ms
  2026-05-19 13:43:47 /api/dashboard ........................................................................... ~ 1s
